nCount, LINE_SEG_NBR,MILEPOST,TRACK_SDTK_NBR,TSC_CD,CLASS,TEST_FSPD,TEST_PSPD,DFCT_TYPE,TIMEGAP, DEF_PRTY1, DEF_PRTY2, DEF_LGTH1, DEF_LGTH2, DEF_AMPLTD1, DEF_AMPLTD2, NosOfInsp,TOT_DFLT_MGT
1,1,48.6967,0,T,5,70,0,DIP,25,YEL,YEL,5,11,1.48,1.41,1,3.78019
2,1,48.6967,0,T,5,70,0,DIP,94,YEL,RED,5,7,1.39,1.66,1,19.2717
3,1,50.7974,0,T,5,70,0,DIP,49,YEL,YEL,4,4,1.26,1.25,1,10.1751
4,1,50.7974,0,T,5,70,0,DIP,25,YEL,RED,15,13,1.44,1.53,1,3.78019
5,1,51.5183,0,T,5,70,0,DIP,49,YEL,YEL,6,11,1.38,1.49,1,10.1751
6,1,51.8874,0,T,5,70,0,DIP,48,YEL,YEL,3,3,1.3,1.27,1,8.47474
7,1,51.8874,0,T,5,70,0,DIP,77,YEL,YEL,3,5,1.27,1.38,1,13.473
8,1,51.8874,0,T,5,70,0,DIP,31,YEL,RED,4,6,1.34,1.57,1,5.8562
9,1,53.4913,0,T,5,70,0,DIP,35,YEL,RED,12,19,1.42,1.77,1,6.34042
10,1,53.4913,0,T,5,70,0,DIP,19,YEL,YEL,3,10,1.26,1.39,1,2.82779
11,1,53.4913,0,T,5,70,0,DIP,35,YEL,YEL,10,13,1.39,1.43,1,5.47811
12,1,55.8748,0,T,5,70,0,DIP,48,YEL,YEL,6,15,1.27,1.42,1,8.47467
13,1,58.1266,0,T,5,70,0,DIP,48,YEL,YEL,5,9,1.29,1.37,1,8.47467
14,1,61.8628,0,T,5,70,0,DIP,48,YEL,YEL,7,8,1.29,1.31,1,8.47397
15,1,62.204,0,T,5,70,0,DIP,31,YEL,YEL,5,6,1.28,1.27,1,5.85681
16,1,62.2636,0,T,5,70,0,DIP,25,YEL,YEL,4,7,1.26,1.34,1,3.77274
17,1,62.2636,0,T,5,70,0,DIP,35,YEL,YEL,7,8,1.34,1.3,1,5.47912
18,1,62.5149,0,T,5,70,0,DIP,38,YEL,YEL,4,3,1.28,1.29,1,8.05805
19,1,64.4216,0,T,5,70,0,DIP,41,YEL,YEL,6,8,1.3,1.37,1,7.67491
20,1,65.7304,0,T,5,70,0,DIP,48,RED,RED,13,12,1.64,1.61,1,8.47397
21,1,65.7304,0,T,5,70,0,DIP,77,RED,RED,12,10,1.61,1.57,1,13.4609
22,1,67.4902,0,T,5,70,0,DIP,25,RED,RED,22,24,1.88,2.12,1,3.77274
23,1,69.9947,0,T,5,70,0,DIP,48,YEL,YEL,6,8,1.27,1.28,1,8.47397
24,1,69.9947,0,T,5,70,0,DIP,77,YEL,YEL,8,7,1.28,1.26,1,13.4609
25,1,71.1952,0,T,5,70,0,DIP,41,YEL,YEL,7,10,1.36,1.47,1,7.67491
26,1,72.8077,0,T,5,70,0,DIP,25,YEL,YEL,17,5,1.38,1.35,1,3.77193
27,1,72.8929,0,T,5,70,0,DIP,89,YEL,RED,4,7,1.34,1.66,1,18.1755
28,1,76.2716,0,T,5,70,0,DIP,8,YEL,YEL,5,5,1.34,1.3,1,3.17368
29,1,76.6794,0,T,5,70,0,DIP,28,YEL,YEL,7,9,1.28,1.35,1,5.01427
30,1,76.6794,0,T,5,70,0,DIP,8,YEL,YEL,9,3,1.35,1.27,1,3.17368
31,1,76.6794,0,T,5,70,0,DIP,25,YEL,YEL,3,8,1.27,1.35,1,3.77197
32,1,76.8013,0,T,5,70,0,DIP,36,YEL,YEL,6,6,1.44,1.3,1,7.29314
33,1,77.1034,0,T,5,70,0,DIP,25,YEL,YEL,5,8,1.28,1.33,1,3.77197
34,1,77.6075,0,T,5,70,0,DIP,28,YEL,YEL,11,4,1.3,1.26,1,5.01427
35,1,78.3019,0,T,5,70,0,DIP,77,YEL,RED,7,8,1.32,1.5,1,13.4636
36,1,78.8414,0,T,5,70,0,DIP,31,YEL,YEL,3,4,1.29,1.28,1,5.84581
37,1,79.0035,0,T,5,70,0,DIP,77,YEL,YEL,4,9,1.29,1.48,1,13.4636
38,1,79.0035,0,T,5,70,0,DIP,41,YEL,YEL,6,4,1.34,1.31,1,7.67478
39,1,79.1892,0,T,5,70,0,DIP,25,YEL,YEL,7,12,1.28,1.33,1,3.77197
40,1,79.1892,0,T,5,70,0,DIP,35,YEL,YEL,12,12,1.33,1.34,1,5.47912
41,1,79.2219,0,T,5,70,0,DIP,25,YEL,YEL,5,5,1.28,1.28,1,3.77197
42,1,79.2219,0,T,5,70,0,DIP,35,YEL,YEL,5,4,1.28,1.28,1,5.47912
43,1,79.2564,0,T,5,70,0,DIP,25,YEL,YEL,4,7,1.27,1.36,1,3.77197
44,1,79.2564,0,T,5,70,0,DIP,35,YEL,YEL,7,6,1.36,1.32,1,5.47912
45,1,79.7669,0,T,5,70,0,DIP,25,YEL,YEL,11,14,1.39,1.45,1,3.77197
46,1,79.7669,0,T,5,70,0,DIP,35,YEL,YEL,14,13,1.45,1.42,1,5.47912
47,1,80.1768,0,T,5,70,0,DIP,25,RED,RED,5,7,1.61,1.72,1,3.77197
48,1,80.4493,0,T,5,70,0,DIP,39,RED,RED,7,37,1.95,2.28,1,8.00983
49,1,81.3491,0,T,5,70,0,DIP,77,YEL,YEL,5,6,1.38,1.39,1,13.4636
50,1,82.5112,0,T,5,70,0,DIP,48,YEL,YEL,8,11,1.28,1.33,1,8.47391
51,1,82.5112,0,T,5,70,0,DIP,77,YEL,YEL,11,12,1.33,1.35,1,13.4636
52,1,82.8694,0,T,5,70,0,DIP,25,YEL,YEL,11,7,1.45,1.37,1,3.77197
53,1,85.717,0,T,5,70,0,DIP,19,YEL,YEL,8,11,1.33,1.44,1,2.81991
54,1,86.8985,0,T,5,70,0,DIP,25,YEL,YEL,6,10,1.28,1.31,1,3.76978
55,1,87.739,0,T,5,70,0,DIP,19,YEL,YEL,3,4,1.25,1.29,1,2.81943
56,1,87.9943,0,T,5,70,0,DIP,48,YEL,RED,11,8,1.4,1.51,1,8.46794
57,1,87.9943,0,T,5,70,0,DIP,77,RED,RED,8,11,1.51,1.67,1,13.4586
58,1,89.9394,0,T,5,70,0,DIP,39,YEL,YEL,16,7,1.48,1.43,1,7.62408
59,1,89.9394,0,T,5,70,0,DIP,42,YEL,YEL,7,5,1.43,1.31,1,9.84188
60,1,90.7244,0,T,5,70,0,DIP,49,YEL,RED,7,7,1.45,1.55,1,10.1106
61,1,95.4002,0,T,4,60,0,DIP,14,YEL,YEL,10,4,1.65,1.52,1,2.15793
62,1,96.7929,0,T,4,60,0,DIP,25,YEL,RED,10,6,1.71,1.76,1,3.7677
63,1,98.3188,0,T,4,60,0,DIP,48,YEL,YEL,9,10,1.62,1.65,1,8.46868
64,1,98.3188,0,T,4,60,0,DIP,77,YEL,RED,10,15,1.65,1.85,1,13.4604
65,1,98.3188,0,T,4,60,0,DIP,41,YEL,RED,11,9,1.71,1.8,1,7.67214
66,1,102.585,0,T,4,60,0,DIP,14,RED,RED,5,9,2.44,1.8,1,2.15519
67,1,102.609,0,T,4,60,0,DIP,69,YEL,RED,7,7,1.59,2.12,1,11.4828
68,1,108.222,0,T,4,60,0,DIP,32,YEL,YEL,5,5,1.59,1.63,1,6.48589
69,1,108.222,0,T,4,60,0,DIP,49,YEL,YEL,5,7,1.63,1.69,1,10.1017
70,1,110.508,0,T,4,60,0,DIP,25,RED,RED,15,13,1.92,1.87,1,3.76391
71,1,110.508,0,T,4,60,0,DIP,35,RED,RED,13,12,1.87,1.98,1,5.47376
72,1,112.375,0,T,4,60,0,DIP,68,RED,RED,15,15,1.99,1.91,1,11.315
73,1,112.683,0,T,4,60,0,DIP,68,RED,RED,19,24,2.08,2.26,1,11.315
74,1,112.703,0,T,4,60,0,DIP,68,YEL,RED,14,9,1.67,1.97,1,11.315
75,1,113.871,0,T,4,60,0,DIP,32,YEL,YEL,8,7,1.61,1.59,1,6.4744
76,1,116.318,0,T,4,60,0,DIP,25,YEL,YEL,8,7,1.73,1.7,1,3.75674
77,1,116.318,0,T,4,60,0,DIP,35,YEL,RED,7,7,1.7,1.82,1,5.46068
78,1,119.146,0,C,4,60,0,DIP,25,YEL,YEL,6,3,1.59,1.51,1,3.75674
79,1,121.457,0,T,4,60,0,DIP,77,YEL,YEL,7,8,1.57,1.6,1,13.4423
80,1,121.457,0,T,4,60,0,DIP,41,YEL,YEL,12,13,1.67,1.69,1,7.64132
81,1,121.908,0,T,4,60,0,DIP,77,YEL,YEL,3,5,1.53,1.57,1,13.4423
82,1,121.908,0,T,4,60,0,DIP,41,RED,RED,6,7,1.78,1.83,1,7.64132
83,1,121.908,0,T,4,60,0,DIP,36,YEL,YEL,6,8,1.63,1.68,1,7.26993
84,1,121.908,0,T,4,60,0,DIP,25,YEL,YEL,9,9,1.69,1.7,1,3.75674
85,1,121.908,0,T,4,60,0,DIP,35,YEL,YEL,9,9,1.7,1.71,1,5.46068
86,1,121.908,0,T,4,60,0,DIP,39,YEL,RED,9,19,1.71,1.82,1,6.81816
87,1,121.938,0,T,4,60,0,DIP,68,YEL,RED,4,13,1.59,2,1,11.3149
88,1,133.369,0,T,4,60,0,DIP,14,YEL,YEL,11,4,1.63,1.52,1,2.15481
89,1,134.435,0,T,4,60,0,DIP,79,YEL,RED,8,21,1.53,2.19,1,15.2428
90,1,140.637,0,T,4,60,0,DIP,41,YEL,YEL,4,6,1.56,1.66,1,7.64669
91,1,141.691,0,T,4,60,0,DIP,61,YEL,RED,5,12,1.59,2.28,1,10.1869
92,1,145.832,0,T,4,60,0,DIP,31,YEL,YEL,3,5,1.58,1.64,1,5.84852
93,1,145.832,0,T,4,60,0,DIP,12,YEL,YEL,5,8,1.64,1.68,1,2.27019
94,1,153.098,0,T,4,60,0,DIP,14,RED,RED,18,11,2.15,1.85,1,2.15298
95,1,153.161,0,T,4,60,0,DIP,68,YEL,RED,12,9,1.7,1.76,1,11.3094
96,1,153.452,0,T,4,60,0,DIP,68,YEL,RED,8,22,1.56,2.59,1,11.3094
97,1,153.483,0,T,4,60,0,DIP,61,YEL,YEL,4,5,1.53,1.51,1,10.1862
98,1,154.665,0,T,4,60,0,DIP,73,YEL,RED,7,9,1.74,1.99,1,14.1516
99,1,154.976,0,T,4,60,0,DIP,61,YEL,YEL,8,8,1.62,1.61,1,10.1862
100,1,155.336,0,T,4,60,0,DIP,73,YEL,YEL,9,7,1.65,1.68,1,14.1516
101,1,155.504,0,T,4,60,0,DIP,61,RED,RED,9,17,1.87,2.51,1,10.1862
